name,seed,family,reward,guide,objective,replay,beta,base_atom_stability,base_log_reward_mean,base_log_reward_top1,base_log_reward_top10,base_log_reward_top100,base_mol_stability,base_n_valid_smiles,base_parse_rate,base_reused_from,base_reward_mean,base_reward_top1,base_reward_top10,base_reward_top100,base_uniqueness,fcd_base_vs_ref,fcd_guided_vs_base,fcd_guided_vs_ref,guided_atom_stability,guided_log_reward_mean,guided_log_reward_top1,guided_log_reward_top10,guided_log_reward_top100,guided_mol_stability,guided_n_valid_smiles,guided_parse_rate,guided_reward_mean,guided_reward_top1,guided_reward_top10,guided_reward_top100,guided_uniqueness,mean_delta,n_components,reward_mean_delta,reward_top100_delta,reward_top10_delta,reward_top1_delta,top100_delta,top10_delta,top1_delta,wass_MW_base_vs_ref,wass_MW_guided_vs_ref,wass_TPSA_base_vs_ref,wass_TPSA_guided_vs_ref,wass_logP_base_vs_ref,wass_logP_guided_vs_ref,wass_n_heavy_base_vs_ref,wass_n_heavy_guided_vs_ref,wass_n_rings_base_vs_ref,wass_n_rings_guided_vs_ref
sweep-osim-hidden-revkl-replay_off-b1,100,sweep,osim,hidden,revkl,off,1,0.8524100641490594,-3.0434217853704815,-0.21445539593696594,-0.23209359347820283,-0.2752979502081871,0.0244,4673,,dumps/_base/osim/seed100,,,,,0.99700406591055,4.144421280014981,0.04725307051845107,4.236529760140314,0.851594732578512,-2.987975159855966,-0.21445539593696594,-0.23045624792575836,-0.2728660190105438,0.0246,4676,0.9352,0.2249818287119842,0.8069808055518775,0.7941969852315331,0.7613853159301986,0.9972198460222412,0.055446625514515624,,,,,,0.002431931197643289,0.0016373455524444636,0.0,14.531700820158363,14.467522496321651,3.5680180530708334,3.2476550470487604,0.35281490813909705,0.36442072487425164,1.193341536486197,1.1684816082121467,0.1916588487053284,0.19273344739093248
sweep-osim-hidden-revkl-replay_off-b1,42,sweep,osim,hidden,revkl,off,1,0.8526116757267785,-3.1227731127791847,-0.21496085822582245,-0.23358982056379318,-0.2781782804429531,0.0232,4620,,dumps/_base/osim/seed42,,,,,0.9987012987012988,4.306199151562396,0.03951142946115738,4.336328124183112,0.8524358617040876,-3.092644818375831,-0.21496085822582245,-0.23358982056379318,-0.27753245800733567,0.0234,4614,0.9228,0.21898820387433623,0.8065730102580936,0.7917107432529368,0.7578362616215146,0.9980494148244473,0.030128294403353628,,,,,,0.0006458224356174491,0.0,0.0,14.988010878787884,15.51387996159515,4.436697826839828,4.267578143909842,0.3399854235757577,0.35542640197919395,1.2410277056277048,1.2391756393584736,0.223909090909091,0.2263896835717384
sweep-osim-hidden-revkl-replay_off-b10,0,sweep,osim,hidden,revkl,off,10,0.8544708614082822,-3.1923456504809344,-0.21349063515663147,-0.2332309365272522,-0.2808708596229553,0.027,4641,,dumps/_base/osim/seed0,,,,,0.9976298211592329,4.427940043898772,0.5120971227178472,4.985199575518365,0.8501441338950859,-2.7220530851409577,-0.21531401574611664,-0.2355723798274994,-0.27856005609035495,0.0242,4638,0.9276,0.24849560463521603,0.8062882132259215,0.7901806364540491,0.7570275407828775,0.9980595084087969,0.47029256533997676,,,,,,0.0023108035326003806,-0.0023414433002472146,-0.0018233805894851685,17.336867902219353,19.610277547304875,4.483138573152338,3.158766929711086,0.3454792781913382,0.47990030649676607,1.35384421460892,1.4739343682621815,0.202071924154277,0.182440620957309
sweep-osim-hidden-revkl-replay_off-b10,100,sweep,osim,hidden,revkl,off,10,0.8524100641490594,-3.0434217853704815,-0.21445539593696594,-0.23209359347820283,-0.2752979502081871,0.0244,4673,,dumps/_base/osim/seed100,,,,,0.99700406591055,4.144421280014981,0.5064639187000353,4.660624035082833,0.8455706476331432,-2.61569654442506,-0.2260105311870575,-0.23592569977045058,-0.2666574446856976,0.0252,4655,0.931,0.25819281343439837,0.7977097007913622,0.7898498098630504,0.7660338856478894,0.9963480128893663,0.4277252409454215,,,,,,0.008640505522489517,-0.0038321062922477556,-0.011555135250091553,14.531700820158363,14.67354871944146,3.5680180530708334,3.6249202900107402,0.35281490813909705,0.47621499738560713,1.193341536486197,1.2118485499462937,0.1916588487053284,0.16718904403866822
sweep-osim-hidden-revkl-replay_off-b10,42,sweep,osim,hidden,revkl,off,10,0.8526116757267785,-3.1227731127791847,-0.21496085822582245,-0.23358982056379318,-0.2781782804429531,0.0232,4620,,dumps/_base/osim/seed42,,,,,0.9987012987012988,4.306199151562396,0.5020489721862589,4.867772662155218,0.8480395219307308,-2.670959299130344,-0.21496085822582245,-0.227105250954628,-0.2670658954977989,0.0258,4627,0.9254,0.2517858577681008,0.8065730102580936,0.7968533230185012,0.7657658963266849,0.9969742813918305,0.45181381364884077,,,,,,0.011112384945154208,0.006484569609165186,0.0,14.988010878787884,17.017572528247253,4.436697826839828,3.4379722718824333,0.3399854235757577,0.4931234510157772,1.2410277056277048,1.3519194726604709,0.223909090909091,0.2023323535768317
sweep-osim-hidden-rtb-replay_off-b1,0,sweep,osim,hidden,rtb,off,1,0.8544708614082822,-3.1923456504809344,-0.21349063515663147,-0.2332309365272522,-0.2808708596229553,0.027,4641,,dumps/_base/osim/seed0,,,,,0.9976298211592329,4.427940043898772,0.13511594052566522,4.096433615461024,0.856774247930169,-3.124468894477681,-0.21349063515663147,-0.2314442589879036,-0.28049649104475977,0.0266,4645,0.929,0.21799829608041044,0.8077597246584434,0.7934400284887355,0.7555973468928601,0.9978471474703983,0.06787675600325338,,,,,,0.0003743685781955608,0.00178667753934858,0.0,17.336867902219353,16.46528925016147,4.483138573152338,3.9540691345532837,0.3454792781913382,0.32979246037244364,1.35384421460892,1.1913022604951558,0.202071924154277,0.19886996770721213
sweep-osim-hidden-rtb-replay_off-b1,100,sweep,osim,hidden,rtb,off,1,0.8524100641490594,-3.0434217853704815,-0.21445539593696594,-0.23209359347820283,-0.2752979502081871,0.0244,4673,,dumps/_base/osim/seed100,,,,,0.99700406591055,4.144421280014981,0.11785680772932494,3.918893893415799,0.8548043999514848,-3.0316671575893546,-0.21445539593696594,-0.22944592535495759,-0.2724005204439163,0.0254,4667,0.9334,0.22013182051580055,0.8069808055518775,0.7949949131329225,0.7617438179239386,0.9978572959074352,0.011754627781126903,,,,,,0.0028974297642707647,0.0026476681232452393,0.0,14.531700820158363,14.292841054081855,3.5680180530708334,3.375481262052711,0.35281490813909705,0.34714528615684614,1.193341536486197,1.0865256053139052,0.1916588487053284,0.1938335118920077
sweep-osim-hidden-rtb-replay_off-b1,42,sweep,osim,hidden,rtb,off,1,0.8526116757267785,-3.1227731127791847,-0.21496085822582245,-0.23358982056379318,-0.2781782804429531,0.0232,4620,,dumps/_base/osim/seed42,,,,,0.9987012987012988,4.306199151562396,0.1250405194381301,4.009307458983557,0.8550089967985418,-3.064452076324732,-0.21496085822582245,-0.23426126688718796,-0.2781729790568352,0.0234,4619,0.9238,0.21693009687051337,0.8065730102580936,0.7911832708220912,0.7573405785352617,0.9980515263043949,0.058321036454452635,,,,,,5.301386117928519e-06,-0.0006714463233947754,0.0,14.988010878787884,14.598231297466995,4.436697826839828,4.02011865295519,0.3399854235757577,0.3188590456432129,1.2410277056277048,1.0934359385148298,0.223909090909091,0.22349525871400738
sweep-osim-hidden-rtb-replay_off-b10,0,sweep,osim,hidden,rtb,off,10,0.8544708614082822,-3.1923456504809344,-0.21349063515663147,-0.2332309365272522,-0.2808708596229553,0.027,4641,,dumps/_base/osim/seed0,,,,,0.9976298211592329,4.427940043898772,0.20241843158170525,4.030084511567281,0.8567831463503344,-3.0271389635342345,-0.21349063515663147,-0.23386286497116088,-0.2796837428212166,0.0262,4644,0.9288,0.22293069236087137,0.8077597246584434,0.7915108295582199,0.756203673696051,0.998062015503876,0.16520668694669993,,,,,,0.001187116801738719,-0.0006319284439086914,0.0,17.336867902219353,15.545896263393626,4.483138573152338,3.520685955211026,0.3454792781913382,0.3356789946959519,1.35384421460892,1.083796899224806,0.202071924154277,0.18227545219638222
sweep-osim-hidden-rtb-replay_off-b10,100,sweep,osim,hidden,rtb,off,10,0.8524100641490594,-3.0434217853704815,-0.21445539593696594,-0.23209359347820283,-0.2752979502081871,0.0244,4673,,dumps/_base/osim/seed100,,,,,0.99700406591055,4.144421280014981,0.1945898509716244,3.8593905031785596,0.8551299805749445,-2.9467837278391324,-0.21886718273162842,-0.23288022428750993,-0.27058964133262636,0.0234,4667,0.9334,0.22337222224606776,0.8034284202356379,0.7922702681669902,0.7630896010403806,0.9985001071352047,0.09663805753134902,,,,,,0.004708308875560729,-0.0007866308093071039,-0.004411786794662476,14.531700820158363,13.207291623526896,3.5680180530708334,2.9713010760659957,0.35281490813909705,0.3378862426239555,1.193341536486197,0.9599778444396823,0.1916588487053284,0.17450657810156422
